Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Nikol Mircheva,3,87,16,2,serve_plus_one,Backhand,Flat,Net,Opponent,short,deuce,far,deep,ad,down the line,54.221409,far,-0.814941,12.148438,-0.814941,12.148438,2.119141,22.693163,1.537109,-2.119141,1.076837
Nikol Mircheva,1,88,16,2,first_serve,Serve,Flat,In,Nikol Mircheva,short,ad,near,short,ad,out wide,85.250656,far,-3.270524,6.626425,-3.270524,6.626425,0.877441,23.547169,4.214844,-0.877441,0.222831
Opponent,2,88,16,2,first_return,Backhand,Topspin,In,Nikol Mircheva,deep,ad,far,out,ad_alley,down the line,34.284485,near,1.649122,19.721935,-1.649122,4.048065,-4.601562,-0.853372,1.117188,-0.853372,-0.853372
Nikol Mircheva,3,88,16,2,serve_plus_one,Forehand,Topspin,In,Nikol Mircheva,short,ad,near,deep,ad,inside out,54.787361,far,-2.415127,7.616891,-2.415127,7.616891,1.696289,24.911913,1.435547,-1.696289,-1.141913
Opponent,4,88,16,2,return_plus_one,Backhand,Topspin,In,Nikol Mircheva,short,ad,far,deep,ad_alley,down the line,37.066803,near,3.038841,17.768391,-3.038841,6.001609,-4.515625,-0.095559,0.694336,-0.095559,-0.095559
Nikol Mircheva,5,88,16,2,in_play,Backhand,Slice,In,Nikol Mircheva,deep,ad,near,deep,ad,cross court,49.54055,far,-2.706121,2.75288,-2.706121,2.75288,3.443359,23.490038,1.150391,-3.443359,0.279962
Opponent,6,88,16,2,in_play,Backhand,Flat,Net,Nikol Mircheva,short,ad,near,deep,ad,cross court,52.118725,near,-2.839844,11.664062,2.839844,12.105938,-2.708984,0.529441,0.797363,0.529441,0.529441
Nikol Mircheva,1,89,16,2,first_serve,Serve,Flat,In,Opponent,short,deuce,near,deep,deuce,down the T,89.849113,far,0.691872,5.909475,0.691872,5.909475,-1.036133,23.099413,2.238281,1.036133,0.670587
Opponent,2,89,16,2,first_return,Backhand,Slice,In,Opponent,deep,ad,far,out,deuce,inside in,36.442287,near,3.376115,22.728483,-3.376115,1.041517,1.162109,-2.697122,1.089844,-2.697122,-2.697122
Nikol Mircheva,3,89,16,2,serve_plus_one,Forehand,Topspin,In,Opponent,deep,deuce,near,out,ad,inside in,44.891052,far,2.480196,5.449749,2.480196,5.449749,2.953125,25.005663,1.458984,-2.953125,-1.235663
Opponent,4,89,16,2,return_plus_one,Forehand,Topspin,In,Opponent,deep,deuce,far,out,deuce,cross court,70.851006,near,-0.030201,23.769287,0.030201,0.000713,1.344727,-0.986184,1.484375,-0.986184,-0.986184
Nikol Mircheva,5,89,16,2,in_play,Forehand,Topspin,Out,Opponent,deep,ad_alley,near,deep,deuce,down the line,57.357349,far,-4.621015,4.681973,-4.621015,4.681973,-2.943359,24.896288,1.462891,2.943359,-1.126288
Nikol Mircheva,1,90,16,2,first_serve,Serve,Flat,Out,Nikol Mircheva,deep,ad,near,deep,ad,down the T,98.124428,far,-1.505906,2.320106,-1.505906,2.320106,0.79834,22.536913,2.337891,-0.79834,1.233087
Nikol Mircheva,1,90,16,2,second_serve,Serve,Slice,In,Nikol Mircheva,short,ad,near,deep,ad,down the T,82.024727,far,-1.828008,8.679229,-1.828008,8.679229,0.811035,22.927538,2.519531,-0.811035,0.842462
Opponent,3,90,16,2,second_return,Forehand,Flat,In,Nikol Mircheva,deep,ad,far,deep,ad,inside out,51.895317,near,2.08075,23.230995,-2.08075,0.539005,-2.847656,1.396628,1.820312,1.396628,1.396628
